codParlamentario,nombre,fecha_declaracion,url_pdf_bienes
1,Héctor Palencia Rubio,31/07/2023,https://www.congreso.es/docbienes/leg15/000002/000002_000_e_0000007_20230731.pdf
2,Tomás Cabezón Casas,31/07/2023,https://www.congreso.es/docbienes/leg15/000001/000001_000_e_0000005_20230731.pdf
4,Francisco José Alcaraz Martos,01/08/2023,https://www.congreso.es/docbienes/leg15/000003/000003_000_e_0000012_20230801.pdf
5,María de las Nieves Ramírez Moreno,01/08/2023,https://www.congreso.es/docbienes/leg15/000005/000005_000_e_0000019_20230801.pdf
5,María de las Nieves Ramírez Moreno,23/10/2023,https://www.congreso.es/docbienes/leg15/000005/000005_001_e_0002977_20231023.pdf
7,Agustín Conde Bajén,01/08/2023,https://www.congreso.es/docbienes/leg15/000007/000007_000_e_0000031_20230801.pdf
8,Isabel María Pérez Ortiz,01/08/2023,https://www.congreso.es/docbienes/leg15/000008/000008_000_e_0000034_20230801.pdf
9,Juan Bravo Baena,16/08/2023,https://www.congreso.es/docbienes/leg15/000339/000339_000_e_0001412_20230816.pdf
10,Luis Carlos Sahuquillo García,01/08/2023,https://www.congreso.es/docbienes/leg15/000009/000009_000_e_0000038_20230801.pdf
10,Luis Carlos Sahuquillo García,16/11/2023,https://www.congreso.es/docbienes/leg15/000009/000009_001_e_0004273_20231116.pdf
11,Luis Alfonso Rey de las Heras,01/08/2023,https://www.congreso.es/docbienes/leg15/000010/000010_000_e_0000042_20230801.pdf
11,Luis Alfonso Rey de las Heras,16/09/2024,https://www.congreso.es/docbienes/leg15/000010/000010_001_e_0038180_20240916.pdf
12,Carlos Rojas García,16/08/2023,https://www.congreso.es/docbienes/leg15/000014/000014_000_e_0001375_20230816.pdf
14,Pedro Fernández Hernández,02/08/2023,https://www.congreso.es/docbienes/leg15/000012/000012_000_e_0000053_20230802.pdf
15,María Carmen Castilla Álvarez,02/08/2023,https://www.congreso.es/docbienes/leg15/000013/000013_000_e_0000059_20230802.pdf
16,Daniel Pérez Osma,02/08/2023,https://www.congreso.es/docbienes/leg15/000016/000016_000_e_0000074_20230802.pdf
17,Daniel Senderos Oraá,02/08/2023,https://www.congreso.es/docbienes/leg15/000017/000017_000_e_0000076_20230802.pdf
18,Juan Carlos Jerez Antequera,02/08/2023,https://www.congreso.es/docbienes/leg15/000022/000022_000_e_0000093_20230802.pdf
19,María Mercè Perea i Conillas,02/08/2023,https://www.congreso.es/docbienes/leg15/000015/000015_000_e_0000073_20230802.pdf
21,Francisco Aranda Vargas,02/08/2023,https://www.congreso.es/docbienes/leg15/000020/000020_000_e_0000087_20230802.pdf
23,Ferran Verdejo Vicente,02/08/2023,https://www.congreso.es/docbienes/leg15/000021/000021_000_e_0000092_20230802.pdf
24,David Serrada Pariente,02/08/2023,https://www.congreso.es/docbienes/leg15/000019/000019_000_e_0000084_20230802.pdf
24,David Serrada Pariente,02/04/2025,https://www.congreso.es/docbienes/leg15/000019/000019_001_e_0063713_20250402.pdf
