NOMBRE;FECHAREGISTRO;DECLARACION;TIPO;PERIODO;EMPLEADOR;SECTOR;BENEFACTOR;DESTINATARIO;DESCRIPCION;OBSERVACIONES
Abades Martínez,Cristina;08/08/2023;Declaración inicial;ACTIVIDAD;2018;AYUNTAMIENTO DE CERVO;PÚBLICO;;;FUNCIONARIA. LETRADA-ASESORA;
Abades Martínez,Cristina;08/08/2023;Declaración inicial;ACTIVIDAD;2018-2021;XUNTA DE GALICIA;PÚBLICO;;;JEFA TERRITORIAL EN LUGO DE LA CONSEJERÍA DE POLITICA SOCIAL;
Abades Martínez,Cristina;08/08/2023;Declaración inicial;ACTIVIDAD;2019-2023;AYUNTAMIENTO DE LUGO;PÚBLICO;;;CONCEJALA;
Abades Martínez,Cristina;08/08/2023;Declaración inicial;ACTIVIDAD;2021-2023;XUNTA DE GALICIA;PÚBLICO;;;JEFA DE ÁREA TÉCNICA EN LUGO DEL SERVICIO DE EMERGENCIAS;
Abades Martínez,Cristina;08/08/2023;Declaración inicial;DONACION;;;;;;REGALOS DE POCA ENTIDAD EN EL ÁMBITO SOCIAL Y FAMILIAR;
Abades Martínez,Cristina;08/08/2023;Declaración inicial;FUNDACIONES;;;;;CRUZ ROJA ESPAÑOLA;APORTACIÓN ANUAL;
Abades Martínez,Cristina;08/08/2023;Declaración inicial;FUNDACIONES;;;;;ASOCIACIÓN ESPAÑOLA CONTRA EL CÁNCER;APORTACIÓN ANUAL;
Abades Martínez,Cristina;08/08/2023;Declaración inicial;FUNDACIONES;;;;;PARTIDO POPULAR;APORTACIÓN MENSUAL;
Ábalos Meco,José Luis;07/08/2023;Declaración inicial;ACTIVIDAD;2009-2023;CONGRESO DE LOS DIPUTADOS;PÚBLICO;;;DIPUTADO;
Ábalos Meco,José Luis;07/08/2023;Declaración inicial;ACTIVIDAD;2018-2021;GOBIERNO DE ESPAÑA;PÚBLICO;;;MINISTRO;
Ábalos Meco,José Luis;07/08/2023;Declaración inicial;ACTIVIDAD;2023;LA FABRICA DE LA TELE;PRIVADO TV;;;COLABORADOR TERTULIAS;
Ábalos Meco,José Luis;07/08/2023;Declaración inicial;DONACION;;;;familiares y amigos;;De poco valor y exclusivamente en el ámbito familiar y social;
Ábalos Meco,José Luis;07/08/2023;Declaración inicial;FUNDACIONES;;;;;ACNUR;CUOTA MENSUAL;
Ábalos Meco,José Luis;07/08/2023;Declaración inicial;FUNDACIONES;;;;;PSOE;CUOTAS Y APORTACIONES VOLUNTARIAS;
Abascal Conde,Santiago;16/08/2023;Declaración inicial;ACTIVIDAD;;;;;;Ninguna de las actividades desarrolladas por mi durante los cinco años anteriores a la obtención del mandato parlamentario podrá condicionar mi actividad política en tanto en cuanto ésta se desarrollará siempre al servicio del interés superior de España y de los españoles, con lealtad a la Constitución y al resto del ordenamiento jurídico vigente.;
Abascal Conde,Santiago;19/09/2023;Modificación de la declaración de intereses económicos;ACTIVIDAD;2018-2023;VOX;Público;;;Presidente;
